Content ID,Reaction Type,Datetime,Sentiment,Score,Content_Type,Category,,,The Top five Category,
230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,8/4/2020,negative,0,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,8/7/2020,positive,72,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/23/2020,positive,72,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,11/14/2020,positive,72,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,8/4/2020,negative,12,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,11/12/2020,positive,30,photo,healthy eating,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,worried,4/3/2021,negative,12,photo,technology,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,want,9/27/2020,positive,70,photo,technology,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,heart,10/27/2020,positive,60,photo,technology,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,scared,10/15/2020,negative,15,photo,technology,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,heart,5/7/2021,positive,60,photo,technology,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,hate,9/16/2020,negative,5,photo,technology,,,,
356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,10/29/2020,neutral,20,photo,technology,,,,
01ab84dd-6364-4236-abbb-3f237db77180,scared,5/24/2021,negative,15,video,food,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2/25/2021,positive,30,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,5/2/2021,negative,5,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,1/28/2021,positive,70,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2/15/2021,neutral,35,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,11/4/2020,negative,10,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,6/23/2020,positive,65,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2/16/2021,positive,70,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,1/3/2021,positive,30,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,11/25/2020,positive,72,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,12/3/2020,positive,50,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,5/22/2021,positive,50,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,1/18/2021,positive,70,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,1/6/2021,neutral,20,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,5/14/2021,positive,72,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,5/27/2021,negative,12,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,7/21/2020,neutral,35,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,5/26/2021,negative,10,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2/25/2021,negative,10,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,12/7/2020,positive,45,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,10/24/2020,neutral,20,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,9/1/2020,neutral,35,GIF,cooking,,,,
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,5/10/2021,positive,72,GIF,cooking,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2/12/2021,positive,70,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,4/28/2021,positive,60,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,1/24/2021,positive,45,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,worried,3/18/2021,negative,12,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/14/2021,negative,0,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,12/23/2020,positive,60,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,hate,5/21/2021,negative,5,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,like,3/28/2021,positive,50,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,9/16/2020,neutral,35,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,11/8/2020,neutral,20,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,3/6/2021,positive,60,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/13/2021,negative,0,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,want,9/6/2020,positive,70,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,6/24/2020,positive,30,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2/7/2021,negative,5,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,1/21/2021,positive,45,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,2/27/2021,negative,10,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,worried,8/22/2020,negative,12,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,8/3/2020,positive,70,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,8/2/2020,negative,15,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,want,6/4/2021,positive,70,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,super love,10/21/2020,positive,75,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,12/26/2020,negative,10,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,3/2/2021,negative,15,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,3/31/2021,neutral,20,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,6/14/2021,positive,30,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,12/27/2020,negative,15,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2/11/2021,negative,15,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,12/7/2020,positive,30,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,12/28/2020,positive,30,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,10/26/2020,positive,30,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,worried,9/26/2020,negative,12,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,scared,11/25/2020,negative,15,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,7/11/2020,positive,60,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,3/19/2021,positive,60,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,interested,10/11/2020,positive,30,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,11/2/2020,positive,60,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,want,10/1/2020,positive,70,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2/11/2021,negative,0,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,want,2/7/2021,positive,70,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,hate,10/17/2020,negative,5,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,like,8/9/2020,positive,50,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,love,2/1/2021,positive,65,video,dogs,,,,
3f8590c7-6ab2-4973-805a-90cdec355f05,adore,1/30/2021,positive,72,video,dogs,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,3/31/2021,positive,70,video,technology,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,2/5/2021,positive,75,video,technology,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,2/19/2021,positive,60,video,technology,,,,
e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,7/25/2020,negative,12,video,technology,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,adore,7/13/2020,positive,72,photo,soccer,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,1/13/2021,neutral,20,photo,soccer,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,worried,1/2/2021,negative,12,photo,soccer,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,11/26/2020,positive,45,photo,soccer,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,want,8/25/2020,positive,70,photo,soccer,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,hate,2/1/2021,negative,5,photo,soccer,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,love,6/4/2021,positive,65,photo,soccer,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,adore,8/19/2020,positive,72,photo,soccer,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,cherish,4/22/2021,positive,70,photo,soccer,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,super love,6/26/2020,positive,75,photo,soccer,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,like,8/15/2020,positive,50,photo,soccer,,,,
0bedca96-fb76-4287-a83c-17330ed39cce,love,11/26/2020,positive,65,photo,soccer,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,want,4/14/2021,positive,70,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,7/21/2020,neutral,20,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,3/29/2021,negative,10,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,want,5/20/2021,positive,70,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,like,11/2/2020,positive,50,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,10/24/2020,neutral,20,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,9/7/2020,positive,60,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,3/4/2021,negative,15,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,1/7/2021,positive,72,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,7/6/2020,neutral,35,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,like,3/27/2021,positive,50,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,11/21/2020,positive,45,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,8/22/2020,positive,70,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,6/14/2021,neutral,35,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,7/15/2020,negative,12,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,3/21/2021,positive,45,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,4/7/2021,positive,75,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,4/24/2021,positive,70,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,9/30/2020,positive,60,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,7/19/2020,positive,60,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,1/21/2021,negative,15,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,1/31/2021,negative,15,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,12/24/2020,negative,5,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,5/27/2021,negative,0,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2/13/2021,negative,0,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,7/14/2020,positive,72,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,7/15/2020,negative,10,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,like,10/8/2020,positive,50,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,11/12/2020,positive,60,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2/21/2021,positive,70,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,7/9/2020,positive,45,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,6/26/2020,positive,72,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,11/20/2020,negative,12,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,like,5/29/2021,positive,50,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,2/22/2021,neutral,20,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,1/7/2021,negative,15,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,10/1/2020,positive,72,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,11/21/2020,negative,5,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,4/15/2021,negative,15,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,love,6/30/2020,positive,65,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,want,12/1/2020,positive,70,photo,public speaking,,,,
b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,11/7/2020,negative,15,photo,public speaking,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,6/30/2020,positive,75,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,8/4/2020,positive,60,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,7/28/2020,positive,45,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,10/25/2020,positive,75,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,worried,7/5/2020,negative,12,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,cherish,4/28/2021,positive,70,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,indifferent,1/31/2021,neutral,20,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,8/29/2020,positive,72,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,10/15/2020,positive,45,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,8/2/2020,positive,65,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,10/31/2020,negative,15,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,10/12/2020,positive,60,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,want,12/12/2020,positive,70,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,like,1/9/2021,positive,50,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,hate,8/23/2020,negative,5,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,12/22/2020,positive,65,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,11/7/2020,negative,0,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,4/17/2021,positive,72,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,4/21/2021,negative,15,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,7/19/2020,positive,45,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,7/6/2020,positive,45,GIF,science,,,,
5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,3/26/2021,positive,65,GIF,science,,,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,9/13/2020,positive,70,GIF,tennis,,,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,1/28/2021,negative,12,GIF,tennis,,,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,indifferent,1/20/2021,neutral,20,GIF,tennis,,,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,9/3/2020,positive,75,GIF,tennis,,,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,1/9/2021,negative,12,GIF,tennis,,,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,indifferent,9/19/2020,neutral,20,GIF,tennis,,,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,5/29/2021,positive,75,GIF,tennis,,,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,5/15/2021,negative,12,GIF,tennis,,,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,8/15/2020,positive,45,GIF,tennis,,,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,3/31/2021,negative,0,GIF,tennis,,,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,2/15/2021,neutral,35,GIF,tennis,,,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,scared,3/29/2021,negative,15,GIF,tennis,,,,
0be59876-d70c-486c-8e0b-a06bef7a2cd6,scared,7/29/2020,negative,15,GIF,tennis,,,,
